movieId	type
tt2338091	Sport
tt1249765	Family
tt6714754	Documentary
tt1601322	Comedy
tt0912217	Adventure
tt0912217	Animation
tt0912217	Comedy
tt6847734	Drama
tt6847734	Family
tt6847734	Romance
tt0395284	Adventure
tt1924652	Family
tt0639001	Game-Show
tt0639001	Reality-TV
tt7846016	Romance
tt8972208	Talk-Show
tt1552758	Short
tt2085666	Animation
tt2085666	News
tt1164087	Reality-TV
tt0639118	Comedy
tt0639118	Reality-TV
tt0639118	Talk-Show
tt4408244	News
tt4408244	Talk-Show
tt1988616	Documentary
tt1988616	Short
tt5152840	Drama
tt5152840	Short
tt6403804	Action
tt6403804	Animation
tt6403804	Drama
tt1827476	Drama
tt1827476	Short
tt6404844	Adult
tt2089961	Drama
tt4957066	History
tt7420128	Drama
tt0618405	Drama
tt1082959	Comedy
tt1082959	News
tt1082959	Talk-Show
tt1300570	Adult
tt0515233	Comedy
tt0144410	Adult
tt8856404	Drama
tt8856404	Short
tt7316782	Action
tt7316782	Drama
tt7316782	Romance
tt2589950	News
tt2251142	Drama
tt2142873	Drama
tt2142873	Family
tt2142873	Short
tt5281178	Comedy
tt0052500	Comedy
tt3330102	Comedy
tt3997106	Talk-Show
tt0663146	Comedy
tt0663146	Music
tt0663146	Talk-Show
tt2780648	Action
tt2780648	Fantasy
tt8279038	\N
tt1862549	Game-Show
tt7165054	Adventure
tt2112594	Comedy
tt2365955	Short
tt2365955	Thriller
tt0983082	Drama
tt5081096	Talk-Show
tt0703987	Comedy
tt1157855	\N
tt0847244	Comedy
tt8323598	Drama
tt1129817	Romance
tt1225646	Drama
tt1225646	Short
tt0372185	Music
tt3137136	Talk-Show
tt1114998	Talk-Show
tt8260556	Game-Show
tt1107310	Adult
tt0782633	News
tt0782633	Talk-Show
tt3256310	Romance
tt5772250	News
tt5772250	Talk-Show
tt0814313	Documentary
tt0156844	\N
tt5323736	Adventure
tt9024008	\N
tt1679417	Family
tt7430296	Drama
tt4272784	Documentary
tt4272784	History
tt4272784	Music
tt8169482	\N
tt2641382	Adult
tt7193944	Drama
tt0247512	Comedy
tt0247512	Drama
tt0247512	Romance
tt2379666	News
tt2379666	Talk-Show
tt8606698	\N
tt2706992	Reality-TV
tt6088132	News
tt6088132	Talk-Show
tt6031014	Comedy
tt4636218	\N
tt0556764	Western
tt0924309	Comedy
tt0910955	Drama
tt7818144	Adult
tt8282892	\N
tt1914704	\N
tt2880230	\N
tt2814048	Horror
tt2814048	Short
tt2814048	Thriller
tt8250430	Drama
tt8197676	\N
tt1422914	Short
tt7655062	Animation
tt0103984	Documentary
tt1113671	Crime
tt5793596	Romance
tt5793596	Short
tt7019332	\N
tt4205402	Documentary
tt7212904	Music
tt7212904	Short
tt6142690	Drama
tt6142690	Romance
tt7263950	Documentary
tt4985658	Adult
tt4108650	Documentary
tt4108650	Short
tt7003580	Comedy
tt1279221	Animation
tt1279221	Comedy
tt1279221	Family
tt7635344	Adult
tt3595520	Talk-Show
tt2229672	Comedy
tt5496100	Game-Show
tt5496100	Music
tt5496100	Reality-TV
tt0736009	Game-Show
tt4305812	Drama
tt4305812	Romance
tt0913128	Action
tt0913128	Adventure
tt0913128	Animation
tt2462686	Comedy
tt2462686	Drama
tt0657253	Comedy
tt0657253	Family
tt0657253	Romance
tt4482156	\N
tt7628308	\N
tt3561294	Music
tt7648862	Comedy
tt2874726	Animation
tt2874726	Comedy
tt2874726	Fantasy
