movieId	title	startYear	isAdult	runtimeMinutes	rating	numVotes
tt1049964	Episode #1.1	2007	0	\N	0.0	0
tt6541908	Episode #1.2533	2005	0	\N	0.0	0
tt8819706	Kagaku na Yatsura	2013	0	25	0.0	0
tt2378484	Anniversary Sorrow	2012	0	\N	0.0	0
tt1660776	Episode dated 5 February 1990	1990	0	\N	0.0	0
tt8768222	Episode dated 19 November 2002	2002	0	\N	0.0	0
tt8905908	The Ice Ship	2019	0	\N	0.0	0
tt1437743	Episode #1.6879	2000	0	\N	0.0	0
tt3567804	Superhero	\N	0	\N	0.0	0
tt2799284	No Verano	2012	0	15	0.0	0
tt2870968	Posljednja vecera	2012	0	\N	0.0	0
tt9106340	Episode #2.13	1993	0	\N	0.0	0
tt0914297	Episode dated 2 January 1984	1984	0	\N	0.0	0
tt2308369	Practically Impossible	1986	0	\N	0.0	0
tt4545712	ROH: The Conquest Tour, Chicago Ridge	2015	0	\N	0.0	0
tt4952578	Matsushima Marina: Bondage Doll	2004	1	105	0.0	0
tt5938660	Episode #1.3	2003	0	\N	0.0	0
tt6583552	Episode #1.71	2000	0	\N	0.0	0
tt8532494	Comme les doigts de la main	2017	0	\N	0.0	0
tt1769952	Episode dated 9 September 2008	2008	0	\N	0.0	0
tt5424546	Episode dated 8 February 2016	2016	0	\N	0.0	0
tt4578464	Leonard Caul (No. 62)	2015	0	43	9.1	1324
tt0606346	The Twinight Zone	1992	0	\N	0.0	0
tt2142322	Painting Theft: Parts 5-6	1962	0	23	7.7	9
tt7835728	Intimidade	2004	0	12	0.0	0
tt7746394	Mark Snow	2016	0	\N	0.0	0
tt1595829	Episode dated 4 February 2010	2010	0	\N	0.0	0
tt4394990	Episode #2.10	\N	0	\N	0.0	0
tt0737312	Applaus für Charly	2002	0	43	0.0	0
tt2106402	Dream One	2011	0	10	0.0	0
tt2690164	Episode dated 29 October 2003	2003	0	\N	0.0	0
tt8454574	Episode #1.75	1972	0	\N	0.0	0
tt3079886	Episode dated 30 July 2013	2013	0	\N	0.0	0
tt8944720	Episode #1.75	1996	0	\N	0.0	0
tt4820480	Black Ops	2015	0	\N	0.0	0
tt5052742	Indiana Fabri	2015	0	\N	0.0	0
tt3660986	Transcendence	2014	0	\N	0.0	0
tt4878202	Light It Up	2016	0	5	0.0	0
tt8164202	Auf Sexentzug! Ich habs echt nötig!	2016	1	\N	0.0	0
tt0049807	Stupor Duck	1956	0	7	7.5	431
tt5838904	Psychic	2016	0	\N	0.0	0
tt0786682	Zu viele Geständnisse	1974	0	50	5.7	6
tt0610933	Hulk of a Different Color	1997	0	21	7.7	24
tt1458613	Pool	2009	0	96	5.7	76
tt7772514	What you didn't see at the Super Bowl	2015	0	\N	0.0	0
tt7030290	Back Home2017	2017	0	\N	0.0	0
tt2193755	Ich schau Dir in die Augen, Kleines!	1997	0	30	0.0	0
tt4565986	Una breve vacanza	2012	0	20	0.0	0
tt2780746	Eye	2011	0	27	0.0	0
tt0530424	Love Is Where It Falls	2005	0	\N	7.5	6
tt3536556	Episode #12.12	2008	0	\N	0.0	0
tt1663707	Without the Prince	1952	0	90	0.0	0
tt6940852	Episode #5.18	2015	0	\N	0.0	0
tt1244445	The Comet Appears/Remodeling the Argo!	1978	0	\N	0.0	0
tt6753254	Barking Orders	2016	0	\N	0.0	0
tt1598051	School's in Session	2008	0	22	0.0	0
tt0394523	Covenant with Death	1963	0	60	7.1	8
tt0566309	Episode dated 11 February 2005	2005	0	\N	0.0	0
tt6105016	Hamad and the Pirates Part 1	1971	0	\N	0.0	0
tt5702534	Episode dated 16 May 2016	2016	0	\N	0.0	0
tt8979892	Untitled Marina Franklin Comedy Special	\N	0	\N	0.0	0
tt5897392	Pedal	2000	0	\N	0.0	0
tt3331360	Episode #50.3	2013	0	\N	0.0	0
tt0667194	Episode dated 7 July 2004	2004	0	\N	0.0	0
tt2808908	Episode #3.106	\N	0	\N	0.0	0
tt8085448	Episode dated 14 November 1975	1975	0	\N	0.0	0
tt1026107	The Dilemma of Experience	2001	0	29	7.8	5
tt2071140	Pariu cu viata	2011	0	100	4.3	410
tt0064533	Kameleonterna	1969	0	106	5.1	10
tt1534008	Crickett and the Little Girl Power: The Movie	2005	0	70	0.0	0
tt8657296	Episode #6.34	1966	0	\N	0.0	0
tt5111874	My Scientology Movie	2015	0	99	6.7	10330
tt4662496	All Systems Go	2015	0	10	0.0	0
tt8221224	Episode #1.106	2007	0	\N	0.0	0
tt4792168	Episode #3.10	2011	0	\N	0.0	0
tt2548524	Episode dated 5 December 2012	2012	0	\N	0.0	0
tt7119494	Episode dated 28 July 2017	2017	0	\N	0.0	0
tt7609524	Episode #1.10	\N	0	\N	0.0	0
tt1406184	Episode dated 15 July 1972	1972	0	\N	0.0	0
tt8837252	Looking for the Northern Daughter	1980	0	10	0.0	0
tt1165045	Episode #1.125	2008	0	\N	0.0	0
tt0166338	Die schwanzgeile Maklerin	1997	1	\N	0.0	0
tt8222368	Episode #1.587	2008	0	\N	0.0	0
tt1242279	Episode #4.11	\N	0	\N	0.0	0
tt3918746	The Innuendo	2014	0	\N	0.0	0
tt7377472	Ashoka tries to get close to Devi	\N	0	\N	0.0	0
tt6671070	Koh-Lanta, Thaïlande: semaine 7	2016	0	\N	0.0	0
tt4316150	Nové dobrodruzství Kocoura Felixe	1927	0	1	0.0	0
tt3974172	God's Tunes	1968	0	\N	0.0	0
tt2206207	Episode dated 31 January 2012	2012	0	\N	0.0	0
tt1190229	Episode #58.35	2008	0	45	0.0	0
tt3364198	Episode #1.12	2013	0	\N	0.0	0
tt3288952	Episode #2.1	2013	0	\N	0.0	0
tt1660944	Episode #24.53	1995	0	\N	0.0	0
tt5429718	Am Sonnenberg	2010	0	\N	0.0	0
tt2338091	Lutteuses	1897	0	\N	0.0	0
tt1249765	Der Neue, die Neue	1981	0	57	0.0	0
tt6714754	The Monster Inside Me	2017	0	\N	0.0	0
tt1601322	Of Mice, Men, and a Frosty Cold One	2008	0	\N	0.0	0
tt0912217	Dysfunction of the Gods	1997	0	\N	6.9	15
tt6847734	Episode #1.2550	2002	0	\N	0.0	0
tt0395284	Thunder in Paradise	1993	0	104	4.4	1062
tt1924652	Episode dated 13 February 2005	2005	0	\N	0.0	0
tt0639001	Kelly's Barking Mad	\N	0	\N	0.0	0
tt7846016	Der Pakt	2018	0	\N	0.0	0
tt8972208	Conversation with Neal Ward	2018	0	\N	0.0	0
tt1552758	A Particular Lesson	1991	0	23	0.0	0
tt2085666	Money Facts	2010	0	\N	0.0	0
tt1164087	Detroit	2007	0	\N	0.0	0
tt0639118	Episode #5.9	1999	0	\N	8.6	14
tt4408244	Episode dated 1 June 2007	2007	0	\N	0.0	0
tt1988616	Entre les mains	2011	0	16	0.0	0
tt5152840	SubStrata	2015	0	10	0.0	0
tt6403804	Onegai!! Ai ni Jikan wo!	1989	0	\N	7.8	5
tt1827476	Word Games	2012	0	18	0.0	0
tt6404844	Victoria in Undercover Hotties: The Sexy Parole Office in Bondage	2014	1	\N	0.0	0
tt2089961	Luisa Develops a Great Fondness for Budoy	2011	0	\N	0.0	0
tt4957066	Episode #1.43	\N	0	\N	0.0	0
tt7420128	Ishaani apologizes to Hrithika for slapping her	\N	0	\N	0.0	0
tt0618405	Krv i voda	2005	0	\N	0.0	0
tt1082959	Sela Ward	1998	0	\N	5.4	8
tt1300570	Cuckold 1	2006	1	108	0.0	0
tt0515233	Notapusy	2005	0	30	8.4	1381
tt0144410	Naked Lust	1985	1	80	6.5	13
tt8856404	Prod 379 Film 3	2018	0	3	0.0	0
tt7316782	Shakti	1993	0	109	0.0	0
tt2589950	Episode dated 12 January 2006	2006	0	\N	0.0	0
tt2251142	Freshta	1979	0	\N	0.0	0
tt2142873	Saturday	2011	0	12	0.0	0
tt5281178	Sticking to Your Principals	2016	0	\N	9.1	20
tt0052500	Peck's Bad Girl	1959	0	30	6.9	11
tt3330102	Yinyue Jinxing	1937	0	\N	0.0	0
tt3997106	Episode dated 11 September 2014	2014	0	\N	0.0	0
tt0663146	Episode dated 20 November 2000	2000	0	\N	0.0	0
tt2780648	Gakuen Sen'nyû	2013	0	\N	0.0	0
tt8279038	Caught in Between: What to Call Home in Times of War	2004	0	\N	0.0	0
tt1862549	Episode dated 1 February 1992	1992	0	90	0.0	0
tt7165054	Wild Land	\N	0	\N	0.0	0
tt2112594	Jean Wonders Who Her Real Competitor Is	2011	0	\N	0.0	0
tt2365955	Simple Man	2012	0	8	0.0	0
tt0983082	Amami omoite Part 5	2007	0	15	0.0	0
tt5081096	Episode #1.54	2015	0	\N	0.0	0
tt0703987	Mendiga com Quem Andas Que te Direi Quem És	2004	0	\N	0.0	0
tt1157855	Episode #1.122	1995	0	\N	0.0	0
tt0847244	Francis Goes to School	1958	0	30	0.0	0
tt8323598	Mama	2017	0	\N	0.0	0
tt1129817	Episode #1.152	2003	0	\N	0.0	0
tt1225646	The Golden Rule	1911	0	\N	0.0	0
tt0372185	Broadway Plays Washington on Kennedy Center Tonight	1982	0	180	8.1	9
tt3137136	Episode #1.7	\N	0	\N	0.0	0
tt1114998	Episode #1.81	2006	0	\N	0.0	0
tt8260556	Chester Morris/Dick Clark/Selma Diamond	1964	0	\N	0.0	0
tt1107310	The Best of the Best	1999	1	122	0.0	0
tt0782633	Episode dated 25 March 2006	2006	0	\N	0.0	0
tt3256310	Vozmi menya s soboy	2008	0	\N	0.0	0
tt5772250	Episode dated 14 June 2016	2016	0	\N	0.0	0
tt0814313	Seven Natural Wonders of the South	2005	0	30	0.0	0
tt0156844	Nirakudam	1977	0	\N	6.4	7
tt5323736	Cres	2016	0	\N	0.0	0
tt9024008	Kanzen naru dôseiai	1971	0	66	0.0	0
tt1679417	Episode dated 26 November 1956	1956	0	\N	0.0	0
tt7430296	Siddhi's return elates Kunal and his family	\N	0	\N	0.0	0
tt4272784	Yorkville	2015	0	61	0.0	0
tt8169482	Episode dated 23 February 2017	2017	0	\N	0.0	0
tt2641382	Episode dated 10 July 2010	2010	1	\N	0.0	0
tt7193944	Episode #1.13	2014	0	\N	0.0	0
tt0247512	The Medicine Show	2001	0	102	6.8	251
tt2379666	Episode dated 18 September 2012	2012	0	\N	0.0	0
tt8606698	Ei Kô no kadô	1999	0	11	0.0	0
tt2706992	Episode dated 26 February 2013	2013	0	\N	0.0	0
tt6088132	Episode dated 5 October 2016	2016	0	\N	0.0	0
tt6031014	Il maniaco	\N	0	\N	0.0	0
tt4636218	Episode #1.3	1992	0	\N	0.0	0
tt0556764	The Bigger They Are	1964	0	25	8.7	6
tt0924309	El tratado de libre co...mercio	1991	0	89	0.0	0
tt0910955	It's Hard to Be Nice	2007	0	102	7.4	908
tt7818144	Sensual Climax	2017	1	\N	0.0	0
tt8282892	Episode dated 10 November 2016	2016	0	\N	0.0	0
tt1914704	Episode dated 10 December 1997	1997	0	\N	0.0	0
tt2880230	Episode #1.8	2012	0	20	0.0	0
tt2814048	Ax	2013	0	9	7.0	10
tt8250430	Episode #1.12	2018	0	\N	0.0	0
tt8197676	Episode dated 26 March 2018	2018	0	\N	0.0	0
tt1422914	The Choice	2007	0	27	0.0	0
tt7655062	The Story of Thanksgiving	2017	0	4	0.0	0
tt0103984	Color Adjustment	1992	0	86	7.0	115
tt1113671	Galantine de fourbi	2007	0	\N	0.0	0
tt5793596	My Friends Over You	2016	0	20	0.0	0
tt7019332	Wake Up Dodo/Getting Ready for Bed	2011	0	\N	0.0	0
tt4205402	Secrets of the Black Hole	2014	0	44	7.5	23
tt7212904	Josef Salvat: Diamonds	2014	0	4	0.0	0
tt6142690	Episode #1.3	1958	0	\N	0.0	0
tt7263950	Episode #1.2	2017	0	44	0.0	0
tt4985658	Morning Fuck 2	2015	1	31	0.0	0
tt4108650	Kalamita aneb Srdecný pozdrav od Sumavy k Tatrám	2007	0	26	0.0	0
tt7003580	O Ricochete da Paranóia	2013	0	\N	0.0	0
tt1279221	Partial Post	1961	0	6	7.6	23
tt7635344	Banging Ms. Banks	2015	1	\N	0.0	0
tt3595520	Episode #1.32	1982	0	\N	0.0	0
tt2229672	2012 - Die Gala	2012	0	\N	0.0	0
tt5496100	Heat 2	2003	0	\N	0.0	0
tt0736009	Episode #1.3	2003	0	\N	0.0	0
tt4305812	Episode #1.7142	1992	0	\N	0.0	0
tt0913128	Taming of the Shroomish	2003	0	22	6.6	56
tt2462686	Reminisce	2013	0	\N	0.0	0
tt0657253	Fran Gets Shushed	1998	0	30	7.4	124
tt4482156	Episode #1.89	\N	0	\N	0.0	0
tt7628308	Lugares	2017	0	\N	0.0	0
tt3561294	Episode #4.4	2014	0	\N	0.0	0
tt7648862	Upper Room	2017	0	\N	8.6	13
tt2874726	Yôsei-san no, himitsu no kôjô	2012	0	\N	7.9	7
tt1904128	Jewish Jesus Lamb of God/Life in the Mob	2011	0	\N	0.0	0
tt7822144	Hoax of the Ages: Piltdown Man	1999	0	\N	0.0	0
tt6109826	Episode #1.3	2016	0	\N	0.0	0
tt7284284	Episode #1.182	1984	0	\N	0.0	0
tt8490570	Completing The Level	2018	0	16	0.0	0
tt0261779	Keemti Qurbani	1935	0	\N	0.0	0
tt1493316	Ripples Cross	2005	0	92	0.0	0
tt0940854	Black Rock Burning	2004	0	30	0.0	0
tt6415168	I NEEEEEEEED IT	2017	0	\N	0.0	0
tt2889736	Aktau	2013	0	14	0.0	0
tt4836336	Fyva	2015	0	63	0.0	0
tt0627366	Episode #7.114	2000	0	\N	0.0	0
tt8266142	Episode #1.15	2000	0	\N	0.0	0
tt0908877	Hole in the Story/Screw-up in Aisle Six	2006	0	\N	5.3	6
tt8795614	Episode #1.5	1981	0	\N	0.0	0
tt7369026	Episode #1.108	2013	0	\N	0.0	0
tt3738444	Episode #1.21	1979	0	\N	0.0	0
tt0976955	Episode dated 17 February 2007	2007	0	\N	0.0	0
tt0689831	Episode dated 4 May 2000	2000	0	\N	0.0	0
tt2585364	The Hygienic Odyssey of Lolly Poo	2012	0	3	0.0	0
tt6182718	Episode #10.28	2001	0	\N	0.0	0
tt7064520	Para kay misis	2017	0	\N	0.0	0
tt8719684	Episode #1.110	2006	0	\N	0.0	0
tt8014654	Florida Shooter Inheritance?	2018	0	\N	0.0	0
tt1874408	After the Storm	2010	0	14	0.0	0
tt5045262	Episode #1.13	\N	0	\N	0.0	0
tt0939132	Episode dated 3 December 1991	1991	0	\N	0.0	0
tt1827340	Rebel	2011	0	52	0.0	0
tt0341825	Jellybean Comedy Clubhouse	1962	0	30	0.0	0
tt7158638	Leaping Tigers and Flying Dragons	2016	0	\N	0.0	0
tt7878998	Episode #1.11349	2018	0	37	0.0	0
tt1346297	Three Men and a Fish Pond	2008	0	52	7.6	16
tt1811000	Episode #1.58	\N	0	\N	0.0	0
tt5199594	LaPointe of No Return	2015	0	\N	0.0	0
tt5263044	In the Sun	2015	0	\N	0.0	0
tt0905791	Young Love	2006	0	26	8.3	80
tt8084360	USO: The Mission of the USO	2012	0	\N	0.0	0
tt3635534	Wake the Fuck Up	2013	0	40	7.2	8
tt0482721	Der große Sensationsprozeß	1923	0	\N	0.0	0
tt1456403	Dave Dillewaard and Ryan 'Biz' Jordan	2008	0	\N	0.0	0
tt6527580	The Veterans' Project	2017	0	90	0.0	0
tt2710886	Sisterly Advice	2013	0	\N	0.0	0
tt0687692	Anniversary Waltz	1981	0	\N	7.7	6
tt0257279	Xerxes	1988	0	186	8.1	27
tt0316937	Zasto?	1960	0	18	0.0	0
tt7759192	Episode #11.19	1997	0	60	0.0	0
tt4435714	Episode #1.20	\N	0	\N	0.0	0
tt8411058	Episode #1.92	1984	0	\N	0.0	0
tt6601100	Episode #1.7	2015	0	\N	0.0	0
tt3194780	Quack Medicine with the Cast of 'Duck Dynasty'	2013	0	\N	0.0	0
tt6897718	Universal	2017	0	\N	7.7	6
tt5095956	Joe Zee/Tom Hiddleston	2015	0	\N	0.0	0
tt4417754	Superbia	2014	0	48	0.0	0
tt8770702	Episode #1.117	1981	0	\N	0.0	0
