tconst	averageRating	numVotes
tt0057527	6.4	146
tt0057532	7.0	382
tt0057977	7.4	505
tt0058278	6.3	36
tt0058367	6.4	17
tt0058487	7.2	103
tt0058620	6.8	3828
tt0058666	6.4	751
tt0059009	5.0	40
tt0059025	6.6	485
tt0059131	5.4	45
tt0059146	7.5	376
tt0059221	7.3	4889
tt0059336	5.2	558
tt0059441	7.9	14
tt0059465	5.6	2316
tt0059659	5.1	36
tt0059688	5.2	96
tt0059821	6.6	4409
tt0059997	6.2	381
tt0060128	5.5	365
tt0060436	7.0	27
tt0060500	4.6	51
tt0060517	4.6	25
tt0060546	7.4	176
tt0060566	7.5	728
tt0060589	5.5	20
tt0060717	7.5	13
tt0060757	6.6	42
tt0060828	5.5	13
tt0061027	7.8	3694
tt0061045	5.3	76
tt0061358	7.2	46
tt0061957	7.2	737
tt0062015	7.4	57
tt0062098	4.0	9
tt0062149	7.1	123
tt0062239	6.8	47
tt0062474	7.7	439
tt0062528	4.7	7
tt0062567	6.9	51
tt0062712	6.2	218
tt0062793	6.8	637
tt0062805	5.5	122
tt0062934	5.8	24
tt0063074	2.2	5
tt0063152	7.3	2005
tt0063210	5.9	1641
tt0063226	5.9	18
tt0063370	5.9	487
tt0063471	5.0	43
tt0063580	6.4	290
tt0063585	6.4	424
tt0063791	7.7	620
tt0063933	7.2	49
tt0064160	5.5	1008
tt0064235	5.2	101
tt0064263	3.8	25
tt0064271	5.2	23
tt0064487	4.6	76
tt0064514	5.7	13
tt0064558	5.7	144
tt0064613	6.6	16
tt0064760	5.7	149
tt0064948	5.6	34
tt0064972	4.9	70
tt0065008	5.1	27
tt0065112	6.3	14601
tt0065316	7.1	15
tt0065409	5.9	32
tt0065456	4.8	337
tt0065538	5.9	30
tt0065565	6.5	120
tt0065948	7.1	640
tt0066088	6.4	8
tt0066092	4.7	110
tt0066099	3.9	116
tt0067117	5.3	10
tt0067202	5.3	7
tt0067375	6.9	652
tt0067422	6.3	324
tt0067469	6.3	166
tt0067470	6.4	28
tt0067613	7.8	6
tt0067732	6.3	977
tt0067825	3.1	134
tt0067852	4.6	12
tt0068130	8.9	89
tt0068151	7.4	14
tt0068418	4.5	49
tt0068435	7.0	1245
tt0068524	6.7	2076
tt0068582	6.6	10
tt0068803	7.5	45
tt0068911	3.9	151
tt0068942	4.2	12
tt0068974	5.0	93
tt0068985	7.1	95
tt0069290	5.3	102
tt0069459	7.0	58
tt0069516	5.9	868
tt0069598	7.6	125
tt0069603	7.4	74
tt0069619	7.6	49
tt0069899	4.4	105
tt0070124	6.6	313
tt0070466	6.8	19
tt0070591	6.2	105
tt0070925	7.8	184
tt0071110	5.6	8208
tt0071204	5.1	43
tt0071242	6.8	152
tt0071556	6.8	6
tt0071642	3.2	330
tt0071769	4.8	133
tt0072067	5.6	576
tt0072097	7.2	486
tt0072109	7.2	64
tt0072424	7.9	6155
tt0072579	8.3	55
tt0072809	4.1	18
tt0072827	4.8	129
tt0072853	6.9	24
tt0073282	6.9	2509
tt0073318	4.1	27
tt0073503	5.2	58
tt0073602	8.3	50
tt0073643	5.6	89
tt0073697	5.8	973
tt0073744	5.7	179
tt0073827	6.2	13
tt0074024	7.4	345
tt0074048	8.4	2321
tt0074155	7.4	22
tt0074536	5.5	50
tt0074704	5.6	315
tt0074814	7.3	314
tt0074815	3.4	610
tt0075163	5.4	3165
tt0075210	4.6	5
tt0075407	6.1	113
tt0075545	7.1	59
tt0075598	7.7	10
tt0075711	7.7	15
tt0076064	5.2	63
tt0076119	5.5	420
tt0076135	6.3	7
tt0076144	6.0	80
tt0076361	5.6	463
tt0076403	6.0	66
tt0076606	8.6	10
tt0076720	7.0	22
tt0076780	4.5	505
tt0076783	7.9	69
tt0076811	6.4	43
tt0076833	3.8	20
tt0076922	7.1	214
tt0076956	5.9	9
tt0077068	6.5	10
tt0077071	7.8	126
tt0077101	8.1	920
tt0077258	4.5	104
tt0077289	6.2	5658
tt0077380	5.9	24
tt0077498	6.9	14
tt0077707	7.6	810
tt0077933	6.6	21
