tconst	ordering	nconst	category	job	characters
tt0010536	7	nm0162403	actor	\N	\N
tt0011092	10	nm0607626	actor	\N	"[""Tommy""]"
tt0011149	1	nm0401976	actor	\N	"[""Sir Percey Blakeney""]"
tt0011149	2	nm0087135	actress	\N	"[""Lady Marguerite""]"
tt0011149	3	nm0656295	actor	\N	"[""Chauvelin""]"
tt0011149	4	nm0288153	actor	\N	"[""Robespierre""]"
tt0011149	6	nm0087802	writer	writer	\N
tt0011189	7	nm0478704	writer	story	\N
tt0011189	8	nm0461424	actor	\N	"[""Antoine""]"
tt0011300	2	nm0313438	actress	\N	"[""Beulah Rogers""]"
tt0011300	4	nm0277313	actor	\N	"[""Pliny Rogers""]"
tt0011364	1	nm4395022	actor	\N	"[""lord Wilmont""]"
tt0011364	4	nm3274009	actor	\N	"[""Bob, néger inas""]"
tt0011364	7	nm8323741	cinematographer	\N	\N
tt0011364	9	nm5316400	production_designer	\N	\N
tt0011369	10	nm2784911	actor	\N	"[""Klostervogt""]"
tt0011369	1	nm0340088	actor	\N	"[""Wolfrat Polzer""]"
tt0011369	2	nm1576164	actress	\N	"[""Gittli""]"
tt0011369	3	nm1488840	actress	\N	"[""Sepha""]"
tt0011369	4	nm0198165	actor	\N	"[""Probst Heinrich von Inzing""]"
tt0011369	5	nm0652302	director	\N	\N
tt0011369	6	nm0304328	writer	novel	\N
tt0011594	1	nm1286917	actor	\N	\N
tt0011594	3	nm1251077	actress	\N	\N
tt0011594	4	nm0200903	actor	\N	\N
tt0011594	5	nm0489856	director	co-director	\N
tt0011594	6	nm0615736	director	co-director	\N
tt0011594	7	nm1287376	actress	\N	\N
tt0011594	8	nm1289199	actor	\N	\N
tt0011787	10	nm0794093	actress	\N	"[""Alice Belding""]"
tt0011787	4	nm0548987	actor	\N	"[""Bull Barnes""]"
tt0011787	5	nm0797094	director	\N	\N
tt0011969	3	nm0663613	actor	\N	"[""Spick Sprague""]"
tt0011969	6	nm0598775	writer	screenplay	\N
tt0011969	9	nm0837921	actor	\N	"[""George Small""]"
tt0012025	7	nm0925481	writer	"story ""Conjuror's House"""	\N
tt0012054	10	nm0121893	actor	\N	"[""Buck Jones""]"
tt0012054	8	nm0854890	actor	\N	"[""Lafe Gordon""]"
tt0012118	8	nm0195850	actor	\N	"[""President Garcia""]"
tt0012205	7	nm1803343	producer	producer	\N
tt0012288	1	nm0482115	actress	\N	"[""Jean Oliver""]"
tt0012288	5	nm0439221	director	\N	\N
tt0012288	6	nm0413526	writer	\N	\N
tt0012288	9	nm0504476	actress	\N	"[""Mrs. Ramsey""]"
tt0012422	3	nm0727668	actor	\N	"[""Wulff Grijp""]"
tt0012422	4	nm0286909	actress	\N	"[""Lena Daa""]"
tt0012422	5	nm0116307	director	\N	\N
tt0012422	7	nm0596413	writer	novel	\N
tt0012468	7	nm0402559	writer	\N	\N
tt0012510	7	nm0381615	writer	\N	\N
tt0012593	3	nm0568282	actress	\N	"[""Her Mother""]"
tt0012593	7	nm0730929	writer	Betty Compson	\N
tt0012661	4	nm0163203	actor	\N	"[""Francis Freeland""]"
tt0012661	6	nm0308228	writer	"novel ""The Secret of the Hills"""	\N
tt0013068	10	nm0486832	actress	\N	"[""Undetermined Role""]"
tt0013068	3	nm0642051	actress	\N	"[""Artist's Model""]"
tt0013068	4	nm0930197	actor	\N	"[""Undetermined Role""]"
tt0013068	5	nm0309130	director	\N	\N
tt0013068	6	nm0007276	director	\N	\N
tt0013068	8	nm0869856	actor	\N	"[""Undetermined Role""]"
tt0013068	9	nm0231072	actor	\N	"[""Undetermined Role""]"
tt0013255	6	nm0009266	writer	titles	\N
tt0013255	8	nm0005738	cinematographer	\N	\N
tt0013375	1	nm0020258	actress	\N	"[""Eleannor Douglas""]"
tt0013375	4	nm0551222	actor	\N	"[""Timothy Lamb""]"
tt0013375	5	nm0215874	director	\N	\N
tt0013403	1	nm0267912	actor	\N	"[""Ned Connors""]"
tt0013403	2	nm0612047	actress	\N	"[""Mrs. Connors""]"
tt0013403	6	nm0038590	writer	story	\N
tt0013403	8	nm0289301	producer	producer	\N
tt0013482	4	nm0426668	actor	\N	"[""Jim Worth""]"
tt0013537	6	nm0920670	cinematographer	\N	\N
tt0013746	6	nm0908552	director	\N	\N
tt0013746	7	nm0908904	director	\N	\N
tt0013887	3	nm0551222	actor	\N	"[""Professor Hamilton""]"
tt0013887	6	nm0030694	writer	novel	\N
tt0014106	1	nm0829795	actor	\N	\N
tt0014114	1	nm0045133	actress	\N	"[""Gretel""]"
tt0014114	3	nm8806001	actor	\N	"[""Hansel""]"
tt0014417	10	nm0119704	cinematographer	\N	\N
tt0014417	1	nm0786313	actor	\N	"[""Sisif""]"
tt0014417	2	nm0167087	actress	\N	"[""Norma""]"
tt0014417	6	nm0665572	producer	producer	\N
tt0014417	9	nm0115996	cinematographer	\N	\N
tt0014745	3	nm0953136	actor	\N	"[""Jeff Peters""]"
tt0014903	8	nm0188356	cinematographer	\N	\N
tt0015158	1	nm0473960	actress	\N	"[""Das Mädchen, das man nicht heiratet""]"
tt0015281	3	nm0797094	actor	\N	"[""'Trav' Williams""]"
tt0015383	4	nm0381455	actress	\N	\N
tt0015383	7	nm0754682	writer	story	\N
tt0015383	9	nm0209523	actress	\N	\N
tt0015546	6	nm0674972	actress	\N	"[""Mrs. George Spencer""]"
tt0015546	7	nm1075554	actress	\N	"[""Mrs. James Morgan""]"
tt0015568	1	nm0403710	actor	\N	\N
tt0015568	2	nm0626230	actress	\N	\N
tt0015568	3	nm0554669	director	\N	\N
tt0015568	4	nm0661113	director	\N	\N
tt0016001	1	nm0043509	actor	\N	"[""Wilhelm Holt, köpman""]"
tt0016001	2	nm0922787	actor	\N	"[""Åke Hjelm, köpman, Holts kompanjon""]"
tt0016001	5	nm0676470	director	\N	\N
tt0016001	6	nm0283393	writer	novel	\N
tt0016001	8	nm0909156	actress	\N	"[""Beate-Marie, hans hustru""]"
tt0016001	9	nm2642656	actress	\N	"[""Majken, deras dotter""]"
tt0016004	10	nm1818632	composer	\N	\N
tt0016004	9	nm0516737	writer	titles by	\N
tt0016086	1	nm0218727	actor	\N	"[""Steve O'Dare""]"
tt0016086	3	nm0797094	actor	\N	"[""Dr. Harlan""]"
tt0016156	5	nm0409949	director	\N	\N
tt0016262	2	nm1249589	actor	\N	"[""Star - Dick's Horse""]"
tt0016356	1	nm0638039	actor	\N	"[""Nungesser""]"
tt0016356	8	nm0203406	actor	\N	"[""Gregg Vanesse""]"
tt0016767	2	nm0310789	actress	\N	"[""Honey Gale""]"
tt0016861	2	nm0599884	actress	\N	\N
tt0016861	6	nm0565242	writer	\N	\N
tt0016861	9	nm0226507	actor	\N	\N
tt0016930	1	nm1260962	actor	\N	"[""Mac Farland""]"
tt0017108	10	nm0318019	actor	\N	"[""Hanna""]"
tt0017108	3	nm0719149	actor	\N	"[""Carter Blake""]"
tt0017108	6	nm0230211	writer	story	\N
tt0017196	10	nm0045404	cinematographer	\N	\N
tt0017196	1	nm0381642	actress	\N	"[""Nana""]"
