tconst	averageRating	numVotes
tt0062105	8.1	11
tt0062142	5.9	7
tt0062359	6.9	19
tt0062385	5.6	228
tt0062515	6.7	37
tt0062550	8.6	7440
tt0062588	8.6	4564
tt0062664	4.4	13
tt0062724	6.9	449
tt0062824	6.5	13575
tt0062889	7.0	44
tt0062946	2.3	665
tt0063101	3.6	160
tt0063152	7.3	2051
tt0063159	6.2	391
tt0063198	7.6	1704
tt0063359	6.9	8
tt0063387	3.6	57
tt0063423	5.2	19
tt0063547	3.7	25
tt0064009	6.6	37
tt0064130	6.4	134
tt0064178	3.7	93
tt0064261	6.1	30
tt0064350	6.6	355
tt0064392	5.2	76
tt0064523	5.1	26
tt0064934	5.8	26
tt0064977	6.0	6
tt0065304	6.4	5
tt0065384	5.6	39
tt0065709	5.2	292
tt0065725	7.2	5
tt0065928	7.6	8
tt0065983	5.6	19
tt0066243	6.3	316
tt0066248	6.9	46
tt0066276	6.0	27
tt0066399	7.2	137
tt0066617	6.5	80
tt0066682	8.4	64
tt0067158	4.2	27
tt0067259	7.2	1065
tt0067399	6.6	15
tt0067471	6.3	30
tt0067593	7.1	225
tt0067787	5.5	168
tt0067865	4.4	8
tt0067897	7.1	457
tt0068014	6.1	954
tt0068069	4.9	2396
tt0068098	8.3	45339
tt0068397	7.7	1953
tt0068442	6.5	115
tt0068570	5.9	14
tt0068745	5.4	27
tt0068757	7.0	182
tt0068833	6.0	28848
tt0068934	6.2	145
tt0068944	4.4	13
tt0068958	4.0	10
tt0069001	4.5	217
tt0069201	7.4	24
tt0069218	6.3	100
tt0069382	6.6	9
tt0069550	8.6	39
tt0069965	7.0	6
tt0070207	7.5	94
tt0070315	4.5	40
tt0070557	7.6	1439
tt0070559	5.5	42
tt0070709	4.7	91
tt0070762	7.6	22
tt0070842	7.2	8850
tt0071023	6.6	19
tt0071057	7.4	30
tt0071117	6.5	25
tt0071174	7.2	5
tt0071181	7.2	39
tt0071322	7.1	100
tt0071425	5.0	26
tt0071435	3.6	29
tt0071482	6.2	54
tt0071583	5.9	1780
tt0071844	6.4	298
tt0072001	7.8	6
tt0072002	6.2	158
tt0072120	6.1	8
tt0072251	7.7	22939
tt0072355	4.6	1147
tt0072413	6.2	36
tt0072450	4.4	9
tt0072468	5.2	21
tt0072541	7.9	307
tt0072558	8.1	91
tt0072579	8.3	56
tt0072591	5.3	40
tt0072607	4.9	7
tt0072728	6.8	25
tt0072740	6.6	70
tt0073044	7.7	28
tt0073115	5.4	5115
tt0073118	6.9	29
tt0073211	6.2	24
tt0073279	5.5	276
tt0073405	6.0	43
tt0073709	6.1	53
tt0073855	7.4	27
tt0073966	8.0	38
tt0074199	3.5	28
tt0074232	5.4	9
tt0074714	7.2	64
tt0074892	6.0	7
tt0074949	6.2	347
tt0075279	7.0	75
tt0075395	4.4	5
tt0075598	7.7	10
tt0075629	6.5	495
tt0075637	7.2	36
tt0075639	6.9	30
tt0075705	6.9	130
tt0075836	5.3	264
tt0075953	6.6	127
tt0076054	6.3	10374
tt0076308	7.0	82
tt0076318	6.3	119
tt0076447	6.7	84
tt0076468	5.2	37
tt0076820	5.4	309
tt0076931	5.3	167
tt0077041	3.6	7
tt0077177	6.1	92
tt0077353	7.5	1238
tt0077434	7.6	29
tt0077532	6.3	720
tt0077578	6.8	12053
tt0077587	6.4	497
tt0077650	6.9	136
tt0077660	5.7	906
tt0077669	7.0	158
tt0077764	6.2	16
tt0077877	2.3	253
tt0078086	5.7	329
tt0078154	8.3	15
tt0078229	6.4	34
tt0078260	6.5	43
tt0078355	8.4	3342
tt0078824	6.8	43
tt0078856	4.6	4202
tt0078950	6.8	7019
tt0079079	6.9	92
tt0079126	6.5	686
tt0079511	8.6	14
tt0079532	6.5	17
